iteration	notebook_path	dataset_path	label_index	model	score
70	mozilla4	data/diffprep_dataset/mozilla4/data.csv	5	LogisticRegression	0.9696255407574413
70	pbcseq	data/diffprep_dataset/pbcseq/data.csv	18	LogisticRegression	0.8484069450876789
70	page-blocks	data/diffprep_dataset/page-blocks/data.csv	10	LogisticRegression	0.9815652396222593
70	ada_prior	data/diffprep_dataset/ada_prior/data.csv	14	LogisticRegression	0.9171602441624201
70	eeg	data/diffprep_dataset/eeg/data.csv	14	LogisticRegression	0.8580880413934088
70	obesity	data/diffprep_dataset/obesity/data.csv	16	LogisticRegression	0.8193868433495705
80	microaggregation2	data/diffprep_dataset/microaggregation2/data.csv	20	LogisticRegression	0.7779781487933963
80	google	data/diffprep_dataset/google/data.csv	8	LogisticRegression	0.7978760492507485
80	jungle_chess_2pcs_raw_endgame_complete	data/diffprep_dataset/jungle_chess_2pcs_raw_endgame_complete/data.csv	6	LogisticRegression	0.8532427579105599
80	Run_or_walk_information	data/diffprep_dataset/Run_or_walk_information/data.csv	6	LogisticRegression	0.9944251422731902
80	wall-robot-navigation	data/diffprep_dataset/wall-robot-navigation/data.csv	24	LogisticRegression	0.9626733229605601
80	avila	data/diffprep_dataset/avila/data.csv	10	LogisticRegression	0.7837594459974471
80	shuttle	data/diffprep_dataset/shuttle/data.csv	9	LogisticRegression	0.9858044150984445
80	abalone	data/diffprep_dataset/abalone/data.csv	8	LogisticRegression	0.5094795167525684
80	connect-4	data/diffprep_dataset/connect-4/data.csv	42	LogisticRegression	0.880601414597635
80	house_prices	data/diffprep_dataset/house_prices/data.csv	80	LogisticRegression	0.9580230786249787
80	USCensus	data/diffprep_dataset/USCensus/data.csv	14	LogisticRegression	0.8910390341716945
80	pol	data/diffprep_dataset/pol/data.csv	48	LogisticRegression	0.9902861539306034
80	mozilla4	data/diffprep_dataset/mozilla4/data.csv	5	LogisticRegression	0.9614639850415635
80	pbcseq	data/diffprep_dataset/pbcseq/data.csv	18	LogisticRegression	0.8529398728721846
80	page-blocks	data/diffprep_dataset/page-blocks/data.csv	10	LogisticRegression	0.9773695010345429
80	ada_prior	data/diffprep_dataset/ada_prior/data.csv	14	LogisticRegression	0.8984591897591402
80	eeg	data/diffprep_dataset/eeg/data.csv	14	LogisticRegression	0.8017837257372732
80	obesity	data/diffprep_dataset/obesity/data.csv	16	LogisticRegression	0.8872621047656614
90	microaggregation2	data/diffprep_dataset/microaggregation2/data.csv	20	LogisticRegression	0.757792847683323
90	google	data/diffprep_dataset/google/data.csv	8	LogisticRegression	0.7978760492507485
90	jungle_chess_2pcs_raw_endgame_complete	data/diffprep_dataset/jungle_chess_2pcs_raw_endgame_complete/data.csv	6	LogisticRegression	0.8212646835824471
